,district,zip,count
0,Mitte,10179,223
1,Mitte,10117,206
2,Mitte,10178,73
3,Schöneberg,12101,64
4,Tempelhof,12101,64
5,PrenzlauerBerg,10437,64
6,Hansaviertel,10557,57
7,Moabit,10557,57
8,Tiergarten,10557,57
9,Charlottenburg-Nord,13353,44
10,Gesundbrunnen,13353,44
11,Tiergarten,13353,44
12,Wedding,13353,44
13,Friedenau,12163,38
14,Steglitz,12163,38
15,Charlottenburg,10585,32
16,Lichterfelde,14167,31
17,Zehlendorf,14167,31
18,Kreuzberg,10967,31
19,Neukölln,10967,31
20,Alt-Treptow,12435,30
21,Plänterwald,12435,30
22,Mitte,10115,25
23,Borsigwalde,13509,15
24,Reinickendorf,13509,15
25,Tegel,13509,15
26,Wittenau,13509,15
27,Friedrichshagen,12587,11
28,Kreuzberg,10997,11
29,Weißensee,13086,10
30,Charlottenburg,14057,6
31,Westend,14057,6
32,Friedrichshain,10245,6
33,Köpenick,12559,6
34,Müggelheim,12559,6
35,Buch,13125,5
36,FranzösischBuchholz,13125,5
37,Karow,13125,5
38,Köpenick,12555,4
39,Kreuzberg,10999,3
40,Moabit,10559,3
41,Tiergarten,10559,3
42,Pichelsdorf,13597,3
43,Spandau,13597,3
44,Westend,13597,3
45,Wilhelmstadt,13597,3
46,Charlottenburg,10789,2
47,Schöneberg,10789,2
48,Wilmersdorf,10789,2
49,Schöneberg,10777,2
50,Wilmersdorf,10777,2
51,Charlottenburg,10719,2
52,Wilmersdorf,10719,2
53,Lichtenberg,10367,2
54,Charlottenburg,10623,2
55,Gesundbrunnen,13347,2
56,Wedding,13347,2
57,Mitte,10435,1
58,PrenzlauerBerg,10435,1
59,Neukölln,12049,1
60,Dahlem,14193,1
61,Grunewald,14193,1
62,Nikolassee,14193,1
63,Schmargendorf,14193,1
64,Marzahn,12679,1
65,Marzahn,12681,1
66,Gesundbrunnen,13357,1
67,Wedding,13357,1
68,Pankow,10439,1
69,PrenzlauerBerg,10439,1
70,Charlottenburg,10627,1
71,Charlottenburg,10629,1
72,Dahlem,14195,1
73,Grunewald,14195,1
74,Lichterfelde,14195,1
75,Schmargendorf,14195,1
76,Steglitz,14195,1
77,Wilmersdorf,14195,1
78,Steglitz,12165,1
79,Friedrichshain,10243,1
80,Neukölln,12055,1
81,Kaulsdorf,12623,1
82,Mahlsdorf,12623,1
83,Oberschöneweide,12459,1
84,Schöneberg,10825,1
85,Wilmersdorf,10825,1
86,Hellersdorf,12627,1
87,Lichtenrade,12307,1
88,Marienfelde,12307,1
89,PrenzlauerBerg,10409,1
90,Britz,12351,1
91,Buckow,12351,1
92,Gropiusstadt,12351,1
93,Rudow,12351,1
